Year	Province	Exp Smoothing 0.5 alpha	Exp Smoothing 0.65 alpha	Exp Smoothing 0.8 alpha	Exp Smoothing 0.95 alpha
2005	Centro	9006.0	9006.0	9006.0	9006.0
2005	Isole	323.0	323.0	323.0	323.0
2005	Nord-est	4029.0	4029.0	4029.0	4029.0
2005	Nord-ovest	39760.0	39760.0	39760.0	39760.0
2005	Sud	476.0	476.0	476.0	476.0
2006	Centro	9006.0	9006.0	9006.0	9006.0
2006	Isole	323.0	323.0	323.0	323.0
2006	Nord-est	4029.0	4029.0	4029.0	4029.0
2006	Nord-ovest	39760.0	39760.0	39760.0	39760.0
2006	Sud	476.0	476.0	476.0	476.0
2007	Centro	9740.0	9960.2	10180.4	10400.6
2007	Isole	345.5	352.25	359.0	365.75
2007	Nord-est	4334.5	4426.15	4517.8	4609.45
2007	Nord-ovest	43072.0	44065.6	45059.2	46052.8
2007	Sud	495.5	501.35	507.2	513.05
2008	Centro	10776.0	11163.87	11485.68	11741.43
2008	Isole	372.75	383.2875	391.8	398.2875
2008	Nord-est	4722.25	4870.6525	4991.56	5084.9725
2008	Nord-ovest	47268.5	48875.21	50183.84	51194.39
2008	Sud	521.25	531.0225	539.04	545.3025
2009	Centro	11642.0	12037.5545	12303.536	12469.6715
2009	Isole	397.875	409.10062500000004	416.76	421.764375
2009	Nord-est	5128.625	5302.478375	5426.312	5512.498625
2009	Nord-ovest	50976.75	52651.5735	53784.768	54510.4695
2009	Sud	541.125	550.507875	556.608	560.215125
2010	Centro	12523.5	12926.394075	13184.7072	13358.233575
2010	Isole	427.4375	440.23521875	448.952	455.23821875
2010	Nord-est	5696.3125	5927.46743125	6096.4624	6226.42493125
2010	Nord-ovest	55443.375	57369.550725	58684.9536	59640.023475
2010	Sud	560.0625	569.02775625	574.5216	578.0607562499999
2011	Centro	13582.25	14040.88792625	14349.74144	14576.86167875
2011	Isole	454.21875	466.7323265625	474.5904	479.7119109375
2011	Nord-est	6231.15625	6472.5136009375	6632.09248	6739.0212465625
2011	Nord-ovest	59743.1875	61707.29275375	62971.39072	63822.85117375
2011	Sud	583.53125	593.7097146875	600.50432	605.5530378125
2012	Centro	14583.125	15043.9107741875	15337.148288	15533.6430839375
2012	Isole	497.109375	514.356314296875	526.91808	536.985595546875
2012	Nord-est	6662.078125	6875.829760328125	7000.818496	7075.301062328125
2012	Nord-ovest	64061.09375	66043.9024638125	67297.478144	68151.1925586875
2012	Sud	622.765625	638.098400140625	649.700864	659.177651890625
2013	Centro	13568.5625	13425.468770965625	13110.6296576	12702.982154196874
2013	Isole	497.0546875	503.07471000390626	502.983616	498.99927977734376
2013	Nord-est	6516.5390625	6547.690416114844	6496.9636992	6406.215053116406
2013	Nord-ovest	62488.046875	62710.11586233437	62191.495628799996	61276.80962793437
2013	Sud	609.3828125	610.7344400492187	606.7401728	599.1588825945313
2014	Centro	13343.78125	13226.26406983797	13117.32593152	13098.199107709843
2014	Isole	502.52734375	506.2761485013672	506.9967232	507.5499639888672
2014	Nord-est	6568.76953125	6595.341645640196	6596.19273984	6610.26075265582
2014	Nord-ovest	62509.0234375	62593.04055181703	62462.29912576	62467.34048139672
2014	Sud	622.19140625	626.5070540172266	629.34803456	633.2079441297266
2015	Centro	14348.390625	14608.64242444329	14905.865186304	15240.259955385493
2015	Isole	516.763671875	522.3466519754785	526.19934464	529.8274981994433
2015	Nord-est	6721.884765625	6777.1195759740685	6819.238547968	6861.763037632791
2015	Nord-ovest	65760.51171875	66765.36419313596	67702.059825152	68684.76702406984
2015	Sud	666.595703125	681.4274689060293	694.669606912	707.1103972064864
2016	Centro	14900.6953125	15157.474848555152	15343.5730372608	15442.362997769274
2016	Isole	551.3818359375	563.7213281914175	574.039868928	583.1913749099722
2016	Nord-est	6674.9423828125	6680.191851590924	6666.2477095936	6639.68815188164
2016	Nord-ovest	67116.755859375	67875.32746759758	68318.8119650304	68483.58835120349
2016	Sud	687.2978515625	698.6996141171103	705.3339213824	707.9555198603243
