Province	Year	Exp Smoothing 0.5 alpha	Exp Smoothing 0.65 alpha	Exp Smoothing 0.8 alpha	Exp Smoothing 0.95 alpha
Centro	2005	7266.0	7266.0	7266.0	7266.0
Centro	2006	7266.0	7266.0	7266.0	7266.0
Centro	2007	7485.5	7551.35	7617.2	7683.05
Centro	2008	8773.25	9182.6225	9572.24	9942.1025
Centro	2009	9578.625	9963.517875	10221.648	10361.905125
Centro	2010	10039.3125	10312.23125625	10444.3296	10493.09525625
Centro	2011	10592.15625	10853.5309396875	11004.86592	11112.4047628125
Centro	2012	11231.578125	11514.885828890625	11697.773184	11833.070238140624
Centro	2013	9813.2890625	9486.960040111719	9055.5546368	8566.903511907032
Centro	2014	9912.64453125	9828.236014039101	9820.71092736	9939.745175595352
Centro	2015	11633.322265625	12119.982604913686	12647.342185472	13183.287258779768
Centro	2016	13812.1611328125	14636.14391171979	15322.2684370944	15850.614362938988
Isole	2005	198.0	198.0	198.0	198.0
Isole	2006	198.0	198.0	198.0	198.0
Isole	2007	195.5	194.75	194.0	193.25
Isole	2008	193.25	192.3125	191.6	191.1125
Isole	2009	193.625	193.409375	193.52	193.855625
Isole	2010	206.8125	210.69328125	214.704	218.69278125
Isole	2011	250.90625	265.4926484375	278.9408	291.18463906249997
Isole	2012	319.953125	345.772426953125	366.98816	384.109231953125
Isole	2013	313.9765625	321.22034943359375	319.797632	311.80546159765623
Isole	2014	382.98828125	406.22712230175784	425.5595264	444.9902730798828
Isole	2015	492.994140625	534.1294928056152	567.5119052800001	595.0995136539941
Isole	2016	620.9970703125	673.7953224819653	712.702381056	741.3049756826997
Nord-est	2005	3284.0	3284.0	3284.0	3284.0
Nord-est	2006	3284.0	3284.0	3284.0	3284.0
Nord-est	2007	3473.5	3530.35	3587.2	3644.05
Nord-est	2008	3754.25	3858.3725	3945.44	4015.4525
Nord-est	2009	4027.125	4145.430375	4229.088	4285.772625
Nord-est	2010	4403.5625	4557.90063125	4669.8176	4755.2886312499995
Nord-est	2011	4884.28125	5082.5152209375	5225.96352	5334.5144315625
Nord-est	2012	5456.140625	5697.080327328125	5867.592704000001	5993.325721578125
Nord-est	2013	5054.0703125	5017.778114564844	4895.1185408	4719.066286078906
Nord-est	2014	5070.03515625	5062.122340097695	5047.82370816	5067.653314303945
Nord-est	2015	5640.017578125	5808.242819034193	5977.564741632	6152.882665715197
Nord-est	2016	5945.5087890625	6096.034986661968	6196.3129483264	6246.09413328576
Nord-ovest	2005	41854.0	41854.0	41854.0	41854.0
Nord-ovest	2006	41854.0	41854.0	41854.0	41854.0
Nord-ovest	2007	44430.5	45203.45	45976.4	46749.35
Nord-ovest	2008	47754.25	49021.9075	50057.68	50861.5675
Nord-ovest	2009	51065.625	52502.717625	53513.136	54201.228375
Nord-ovest	2010	54918.3125	56577.10116875	57719.4272	58542.51141875
Nord-ovest	2011	59902.65625	61978.5354090625	63453.485440000004	64569.7755709375
Nord-ovest	2012	65784.328125	68275.38739317187	70023.497088	71311.18877854687
Nord-ovest	2013	59534.1640625	58530.98558761015	56631.8994176	54185.35943892735
Nord-ovest	2014	60113.58203125	59936.29495566355	59880.77988352	60367.61797194637
Nord-ovest	2015	67551.291015625	69720.55323448224	71967.355976704	74257.93089859732
Nord-ovest	2016	73567.1455078125	76131.14363206878	78059.8711953408	79316.74654492986
Sud	2005	398.0	398.0	398.0	398.0
Sud	2006	398.0	398.0	398.0	398.0
Sud	2007	429.5	438.95	448.4	457.85
Sud	2008	458.25	470.1825	479.28	485.5425
Sud	2009	494.625	509.71387500000003	520.656	528.727125
Sud	2010	524.3125	538.49985625	547.3312	552.73635625
Sud	2011	572.15625	591.4749496875	605.46624	616.6368178125
Sud	2012	627.578125	650.966232390625	667.493248	679.681840890625
Sud	2013	583.2890625	578.1881813367188	564.6986496	546.0340920445312
Sud	2014	657.64453125	678.1658634678515	698.53972992	722.7017046022265
Sud	2015	902.822265625	983.558052213748	1058.107945984	1126.7350852301113
Sud	2016	1160.9111328125	1266.5953182748117	1346.8215891968	1404.3867542615055
